metric,mean,std,experiment
scores.fold_1_3.load_data_time,10.808955212363635,0.13601680593859736,With augmentation
scores.fold_1_3.training_time,13.778301320590908,0.09363157903353397,With augmentation
scores.fold_1_3.prediction_time,0.6664179343636364,0.00874806580849576,With augmentation
scores.fold_1_3.accuracy_score,0.5166473653734801,0.022539300063495128,With augmentation
scores.fold_1_3.f1_macro,0.276487663861316,0.03598418051249023,With augmentation
scores.fold_2_0.load_data_time,20.13292920522727,0.23275109853710077,With augmentation
scores.fold_2_0.training_time,25.31799339718182,0.16445122341455606,With augmentation
scores.fold_2_0.prediction_time,0.4561952785909092,0.005098581893212527,With augmentation
scores.fold_2_0.accuracy_score,0.5387455059065228,0.009691819883734415,With augmentation
scores.fold_2_0.f1_macro,0.5260280117951274,0.007867713340629297,With augmentation
scores.fold_2_1.load_data_time,14.053558833954547,0.1456649007533054,With augmentation
scores.fold_2_1.training_time,18.469153992681818,0.13275782818075071,With augmentation
scores.fold_2_1.prediction_time,0.49517748290909086,0.0055410876436570765,With augmentation
scores.fold_2_1.accuracy_score,0.6280143663417138,0.010820615164847402,With augmentation
scores.fold_2_1.f1_macro,0.5552730741673042,0.008645839952630314,With augmentation
scores.fold_2_2.load_data_time,29.70713172518182,0.3035789496413517,With augmentation
scores.fold_2_2.training_time,37.436017552454544,0.30080956597169795,With augmentation
scores.fold_2_2.prediction_time,0.22039318331818183,0.002614954297336935,With augmentation
scores.fold_2_2.accuracy_score,0.44994002227743973,0.017065149433164346,With augmentation
scores.fold_2_2.f1_macro,0.47004081298651795,0.010055660392535241,With augmentation
scores.fold_2_3.load_data_time,10.767429408181815,0.12576549076944166,With augmentation
scores.fold_2_3.training_time,13.76593116359091,0.08557068122240773,With augmentation
scores.fold_2_3.prediction_time,0.6614621321363636,0.007516612911296806,With augmentation
scores.fold_2_3.accuracy_score,0.519253039953677,0.027178225898793228,With augmentation
scores.fold_2_3.f1_macro,0.28008625558477973,0.040482975093978545,With augmentation
scores.fold_3_0.load_data_time,20.158440748045454,0.27595582482240255,With augmentation
scores.fold_3_0.training_time,25.308799395863637,0.15411820223003198,With augmentation
scores.fold_3_0.prediction_time,0.4553207326363637,0.0060579474212705715,With augmentation
scores.fold_3_0.accuracy_score,0.5365626605033386,0.008894172043486212,With augmentation
scores.fold_3_0.f1_macro,0.5244166575704705,0.0061257322739664355,With augmentation
scores.fold_3_1.load_data_time,14.015305439136364,0.1846591909100245,With augmentation
scores.fold_3_1.training_time,18.34539202454545,0.13570552059755334,With augmentation
scores.fold_3_1.prediction_time,0.5496863908181818,0.006998759943044498,With augmentation
scores.fold_3_1.accuracy_score,0.6237801746276322,0.010444118853447749,With augmentation
scores.fold_3_1.f1_macro,0.5524201064328428,0.008730490756736856,With augmentation
scores.fold_3_2.load_data_time,29.668900037045454,0.3277591042699609,With augmentation
scores.fold_3_2.training_time,37.403533423090906,0.24913319342627682,With augmentation
scores.fold_3_2.prediction_time,0.16604693590909092,0.0020939542911243055,With augmentation
scores.fold_3_2.accuracy_score,0.5010216670522014,0.021221229684410477,With augmentation
scores.fold_3_2.f1_macro,0.4670326067857066,0.014534942141686942,With augmentation
scores.fold_3_3.load_data_time,20.188048937681817,0.24535507791347672,With augmentation
scores.fold_3_3.training_time,25.413280159409087,0.19812292346200155,With augmentation
scores.fold_3_3.prediction_time,0.401203975,0.005347378949571035,With augmentation
scores.fold_3_3.accuracy_score,0.36016949152542366,0.034177400072378676,With augmentation
scores.fold_3_3.f1_macro,0.2799574629027611,0.04122420481156745,With augmentation
scores.fold_4_0.load_data_time,10.817536526681819,0.1048950368224301,With augmentation
scores.fold_4_0.training_time,13.735639279136365,0.10040076271026285,With augmentation
scores.fold_4_0.prediction_time,0.6594070759545455,0.00859843603536454,With augmentation
scores.fold_4_0.accuracy_score,0.5736082364803906,0.011360754323001699,With augmentation
scores.fold_4_0.f1_macro,0.5529530385578536,0.007684896314854542,With augmentation
scores.fold_4_1.load_data_time,14.039851896045457,0.1560116617750062,With augmentation
scores.fold_4_1.training_time,18.377723597090913,0.1391604803060038,With augmentation
scores.fold_4_1.prediction_time,0.5486342317272728,0.006864684604729341,With augmentation
scores.fold_4_1.accuracy_score,0.5345724191063175,0.006704089874906594,With augmentation
scores.fold_4_1.f1_macro,0.5221812654194656,0.004510843346835939,With augmentation
scores.fold_4_2.load_data_time,29.691884017272727,0.32324588397888143,With augmentation
scores.fold_4_2.training_time,37.367973984590904,0.2795596971342792,With augmentation
scores.fold_4_2.prediction_time,0.2207800510454546,0.002850021571200833,With augmentation
scores.fold_4_2.accuracy_score,0.4999228275968514,0.01860237231459643,With augmentation
scores.fold_4_2.f1_macro,0.4661696090092914,0.012675317648342949,With augmentation
scores.fold_4_3.load_data_time,20.23411416909091,0.2320484546675399,With augmentation
scores.fold_4_3.training_time,25.314841051954545,0.16721672039333482,With augmentation
scores.fold_4_3.prediction_time,0.45564101786363637,0.00568426263229442,With augmentation
